sentiment,comment
1,不和小人较真，因为不值得；不和社会较真，因为较不起；不和自己较真，因为伤不起；不和往事较真，因为没价值；不和现实较真，因为要继续。因为善良，所以宽容；因为责任，所以承担；因为某种理由；所以愿意妥协。因为看轻，所以快乐；因为看淡，所以幸福。
0,A告诉我各种B不好的事，还让我不要理B，结果A自己和B聊的这么开心，把我当什么啦！！！
1,十八岁这一年发生了很多，十九岁也会发生很多，但也要骄傲和勇敢的走下去
0,是谁盗了我的微博，换了我的头像，改了我的密码？？？？
0,某傻逼看我照片跟见了鬼一样还能不能好好的了
0,！！！！！Mandylieu居然去做小三！！！！！！还是最极品那种……她怎么看都不像啊当年最爱看她的玉兰油广告了，还跟陈柏霖一起过，哎
1,母乳的妈妈太不容易每天晚上哄完孩子还有逼着自己吃撑为了夜里孩子不脱奶都坚持了将近九个月幸好我是吃再多也不长肉的人呐
0,再来一发面霜的表示现在真的特别！特别！！特别！！！的不爽啊！！！！好吧虽然期中只占20%…
1,中国人喜欢搞中国人！威武！感觉棒棒嗒！
0,本来几开心。。。但系见到呢个~~
0,很想大哭一场。做不出自己想要的东西极度压抑，很讨厌设计课连着上连睡醒后都是满满的负能量，特别特别想回家。我依然是个逃兵，因为无人做我的掩护。
1,新的一天又开始咯～天终于要放晴了
0,大家都走了，我躲在屋里偷偷的难过
1,因为两版翻唱爱上了《hello》，真tm好听，就像刚开始喜欢比伯一样
1,·君子能审时度势，不让欲望左右，所以能够消灾解厄。
0,感觉这几天净甘错事，或者是笨事每一次的发生来自于是自己的粗心，马虎，笨好吧！我承认我自己是个没有经验的人，希望以后能过做的更好吧！
0,本来就晚点了，还在荆州站停那么久！真是烦躁！
0,现在的城管太恐怖了！为难人家打工人干嘛呢？哎！无法无天了！
1,过了几年感觉我们都变了其实我们又都没变友谊万岁
0,就只想修好手机工资一个月不吃不喝好可怜
0,刚刚他生气了。一个曾经的错误，自己都觉得荒唐。。好想告诉你，我想和你有以后
1,我们都一样，一旦有了喜欢的人就开始不知所措。甚至觉得所有情话都不及对方的名字好听。
1,平常人的脑袋像电脑，奥巴马的脑袋像安全帽，摸都摸不到，长的太高了
1,#ゲスの極み乙女。#又上电视啦！?(图来自推)
1,今天可以包成粽子了，哈哈一周已经过一半啦，周三，早上好
0,手机正常充电时，拿起来看了一下时间就黑屏了。强制关机重启之类的办法都试了，完全没用，现在我要暴走了
0,TMD自己不备课也就算了让我们做ppt也就算了尼玛我要是能做到你满意的地步站在讲台上的就不是你了！！！
1,lkjhhjkl今天高兴就要黄色
1,纪念一下这个伟大的日子。搞定了去广州fm的票。平生第一次去自己喜欢的爱豆的fm特别激动！也是给高三努力的自己的小小的礼物和大大的激励。见完老公和他小伙伴们得更加努力。谢谢这个世界总让我觉得幸运幸福世界晚安！
0,你这样你妈妈知道不，这次必须差评
0,#笨蛋喵的二三事#小区暖气维修，今日停暖。笨蛋摆出一张生无可恋脸。
0,一整天都是心不在焉的。心里总是在期待些什么东西。真心不喜欢这样的自己
0,雪地里任了性，川菜馆子过了瘾，落得现在发烧开始，明早有着充分的理由不吃早饭……
1,#吃喝玩乐切#自制麻辣火锅，冬天一起吃火锅才过瘾！
0,害怕热脸贴冷屁股害怕尴尬害怕是啊我害怕最可怕的不是看不见而是假装看不见请不要让我感觉尴尬好吗哪怕我们只是见面打招呼的关系我害怕以后我们之间连招呼都不会有了我害怕我们会变成陌生人我这个人不太会表达自己也不太会说话所以未来路很长请多多指教（艾特好多人）火车随想不喜勿喷
0,这句晚安你让我等了多少个夜晚。晚安吧。可怜的是感觉已没有最初那般强烈。
0,上级领导机关大概就是白天让你闲的看小说，临下班的时候又安排一堆事，真是一群精神病，还病的不轻……最关键的是知道他们是精神病，可还不能不听他们的指示……真是一群SB
0,当初竞选班委真的是日了几次啸天犬都不知道
1,螃蟹们一起加油↖(^ω^)↗人多力量大，给他最好的爱
1,宁可白的病态也不要黑的惶恐不安――浴室里的灯
